label,value
LIS 195,3
LIS 198,3
LIS 199,3
LIS 200,3
LIS 210,3
LIS 211,3
LIS 218,3
LIS 231,3
LIS 244,3
LIS 260,3
LIS 272,3
LIS 277,4
LIS 290,3
LIS 299,3
LIS 300,3
LStud 204,3
LStud 205,3
LStud 206,3
LTS 2,3
MatE 10,3
MatE 21,3
MatE 23,4
MatE 103,4
MatE 105,3
MatE 107,2
MatE 123,3
MatE 131,1
MatE 131.1,3
MatE 141,1
MatE 141.1,3
MatE 151,1
MatE 151.1,3
MatE 161,2
MatE 165.1,3
MatE 175,2
MatE 175.1,3
MatE 183,3
MatE 185,1
MatE 190,3
MatE 196,3
MatE 197,3
MatE 199,3
Math 2,3
Math 10,4
Math 20,4
Math 21,4
Math 22,4
Math 23,3
Math 30,3
Math 40,4
Math 108,3
Math 110.1,3
Math 110.2,3
Math 110.3,3
Math 117,3
Math 122,3
Math 123.1,3
Math 128,3
Math 133,3
Math 142,3
Math 146,3
Math 150.2,3
Math 158,3
Math 162,3
Math 164,3
Math 171,2
Math 190,3
Math 197,3
Math 200,3
Math 202.2,3
Math 203,3
Math 204,3
Math 209.2,3
Math 210.1,3
Math 210.2,3
Math 211,3
Math 214,3
Math 218,3
Math 220.2,3
Math 222,3
Math 227,3
Math 228,3
Math 235,3
Math 241,3
Math 242,3
Math 243,3
Math 250,3
Math 261,3
Math 262.2,3
Math 265,3
Math 271.1,3
Math 271.2,3
Math 281,3
Math 290,3
Math 295,1
Math 296,3
Math 297,6
Math 300,3
Math 400,3
MBB 1,3
MBB 10,3
MBB 100,5
MBB 110,3
MBB 127,2
MBB 127.1,5
MBB 141,3
MBB 150,4
MBB 190,3
MBB 194,1
MBB 196,3
MBB 197,2
MBB 200,3
MBB 215,3
MBB 225,3
MBB 241,3
MBB 260,3
MBB 289,1
MBB 296,3
MBB 300,3
MBB 340,4
ME 12,1
ME 31,1
ME 32,3
ME 41,4
ME 51,4
ME 62,3
ME 63,3
ME 71,0
ME 73,3
ME 91,2
ME 100,2
ME 113,3
ME 122,3
ME 131,4
ME 134,3
ME 136,3
ME 142,3
ME 143,4
ME 147,3
ME 153,3
ME 154,2
ME 155,3
ME 156,3
ME 164,3
ME 165,4
ME 166,3
ME 172,0
ME 176,2
ME 177,2
ME 180,4
ME 183,4
ME 188,3
ME 197,3
ME 242,3
ME 260,3
ME 267,3
ME 282,6
ME 300,3
Media 220,3
Media 230,3
Media 240,3
Media 250,3
Media 260,3
Media 280,6
Media 300,3
Media 301,3
Media 302,3
Media 303,3
Media 332,12
Media 400,1
MetE 12,1
MetE 17.1,3
MetE 19,3
MetE 20,2
MetE 20.1,3
MetE 127,1
MetE 127.1,2
MetE 128,3
MetE 132,1
MetE 132.1,3
MetE 134,2
MetE 135,3
MetE 136,3
MetE 143,2
MetE 148,1
MetE 150,2
MetE 156,3
MetE 176,1
MetE 176.1,3
MetE 179,3
MetE 197,3
MetE 198,3
MetE 199,3
MetE 221,3
MetE 251,3
MetE 298,3
MetE 300,3
Meteo 204,3
Meteo 213,3
Meteo 223,3
Meteo 224,3
Meteo 225,4
Meteo 231,3
Meteo 234,1
Meteo 296,3
Meteo 300,1
Meteo 396,3
Microbio 211,3
Microbio 221,3
Microbio 241,3
Microbio 261,3
Microbio 281,1
Microbio 296,2
Microbio 299,3
Microbio 300,4
MMME 14,3
MMME 21,3
MPs 10,3
MPs 110,3
MPs 115,3
MPs 161,3
MPs 165,3
MPs 171,3
MPs 173,3
MPs 174,3
MPs 177,3
MPs 179,3
MPs 198,3
MPs 200,3
MPs 215,3
MPs 220,3
MPs 230,6
MPs 300,3
MPs 303,3
MPs 330,3
MPs 398,3
MS 1,3
MS 101,3
MS 102,3
MS 213,3
MS 216,3
MS 217,3
MS 222,3
MS 230,3
MS 240,3
MS 242,3
MS 246,3
MS 250,3
MS 258,3
MS 260,3
MS 272,3
MS 278,3
MS 300,3
MS 361,3
MS 366,1
MS 396,3
MS 397,3
MS 398,6
MS 400,3
MSE 201,1
MSE 213,1
MSE 214,1
MSE 215,1
MSE 218,3
MSE 225,3
MSE 231,3
MSE 233,3
MSE 245,3
MSE 251,3
MSE 265,3
MSE 268,3
MSE 285,1
MSE 296,3
MSE 298,3
MSE 300,3
MSE 400,3
MuC 100,3
MuC 110-B,3
MuC 110-O,3
MuC 110-C,3
MuC 120-C,3
MuC 130-C,3
MuC 130-B,3
MuC 140-C,3
MuC 160-C,3
MuC 170-C,3
MuC 180-O,3
MuC 180-C,3
MuC 190-C,3
MuD 110,3
MuD 111,3
MuD 130,3
MuD 150,3
MuD 170,2
MuD 171,2
MuD 180,3
MuD 192,3
MuD 193,3
MuD 194,3
MuD 200,3
MuEd 100,3
MuEd 105,3
MuEd 110,3
MuEd 116,3
MuEd 120,3
MuEd 130,3
MuEd 141,3
MuEd 145,3
MuEd 147,3
MuEd 191,3
MuEd 231,3
MuK 110,3
MuK 120,3
MuK 130,3
MuK 140,3
MuK 150,3
MuK 160,3
MuK 170,3
MuK 173,3
MuK 180,3
MuK 190,2
MuK 192,3
MuL 11,3
MuL 12,3
MuL 13,3
MuL 15,3
MuL 100,3
MuL 115,3
MuL 133,3
MuL 150,3
MuL 151,3
MuL 192,3
